纬度：4047.533	经度：11141.856	时间：100517	海拔：1108
纬度：4047.532	经度：11141.852	时间：100517	海拔：1106
纬度：4047.532	经度：11141.852	时间：100517	海拔：1106
纬度：4047.557	经度：11141.837	时间：100517	海拔：1181
纬度：4047.563	经度：11141.830	时间：100517	海拔：1199
纬度：4047.561	经度：11141.826	时间：100517	海拔：1195
纬度：4047.560	经度：11141.821	时间：100517	海拔：1194
纬度：4047.559	经度：11141.815	时间：100517	海拔：1192
纬度：4047.560	经度：11141.810	时间：100517	海拔：1194
纬度：4047.558	经度：11141.806	时间：100517	海拔：1195
纬度：4047.558	经度：11141.800	时间：100517	海拔：1196
纬度：4047.555	经度：11141.796	时间：100517	海拔：1184
纬度：4047.551	经度：11141.791	时间：100517	海拔：1174
纬度：4047.549	经度：11141.787	时间：100517	海拔：1167
纬度：4047.547	经度：11141.783	时间：100517	海拔：1162
纬度：4047.548	经度：11141.779	时间：100517	海拔：1159
纬度：4047.547	经度：11141.776	时间：100517	海拔：1151
纬度：4047.547	经度：11141.771	时间：100517	海拔：1147
纬度：4047.549	经度：11141.769	时间：100517	海拔：1147
纬度：4047.552	经度：11141.767	时间：100517	海拔：1147
纬度：4047.556	经度：11141.766	时间：100517	海拔：1146
纬度：4047.560	经度：11141.764	时间：100517	海拔：1145
纬度：4047.565	经度：11141.762	时间：100517	海拔：1144
纬度：4047.571	经度：11141.759	时间：100517	海拔：1144
纬度：4047.577	经度：11141.757	时间：100517	海拔：1143
纬度：4047.583	经度：11141.754	时间：100517	海拔：1142
纬度：4047.589	经度：11141.751	时间：100517	海拔：1142
纬度：4047.595	经度：11141.748	时间：100517	海拔：1142
纬度：4047.601	经度：11141.746	时间：100517	海拔：1142
纬度：4047.607	经度：11141.743	时间：100517	海拔：1142
纬度：4047.613	经度：11141.741	时间：100517	海拔：1141
纬度：4047.618	经度：11141.738	时间：100517	海拔：1142
纬度：4047.623	经度：11141.737	时间：100517	海拔：1141
纬度：4047.627	经度：11141.735	时间：100517	海拔：1140
纬度：4047.631	经度：11141.734	时间：100517	海拔：1140
纬度：4047.634	经度：11141.733	时间：100517	海拔：1139
纬度：4047.637	经度：11141.732	时间：100517	海拔：1139
纬度：4047.639	经度：11141.731	时间：100517	海拔：1139
纬度：4047.641	经度：11141.730	时间：100517	海拔：1140
纬度：4047.643	经度：11141.730	时间：100517	海拔：1139
纬度：4047.645	经度：11141.729	时间：100517	海拔：1139
纬度：4047.646	经度：11141.728	时间：100517	海拔：1138
纬度：4047.647	经度：11141.728	时间：100517	海拔：1137
纬度：4047.648	经度：11141.727	时间：100517	海拔：1137
纬度：4047.648	经度：11141.727	时间：100517	海拔：1136
纬度：4047.648	经度：11141.727	时间：100517	海拔：1135
纬度：4047.648	经度：11141.727	时间：100517	海拔：1135
纬度：4047.617	经度：11141.721	时间：100517	海拔：1132
纬度：4047.617	经度：11141.720	时间：100517	海拔：1128
纬度：4047.617	经度：11141.721	时间：100517	海拔：1122
纬度：4047.618	经度：11141.722	时间：100517	海拔：1119
纬度：4047.618	经度：11141.722	时间：100517	海拔：1115
纬度：4047.618	经度：11141.723	时间：100517	海拔：1113
纬度：4047.617	经度：11141.726	时间：100517	海拔：1101
纬度：4047.616	经度：11141.728	时间：100517	海拔：1092
纬度：4047.617	经度：11141.734	时间：100517	海拔：1071
纬度：4047.617	经度：11141.736	时间：100517	海拔：1063
纬度：4047.617	经度：11141.736	时间：100517	海拔：1062
纬度：4047.618	经度：11141.736	时间：100517	海拔：1061
纬度：4047.618	经度：11141.736	时间：100517	海拔：1060
纬度：4047.619	经度：11141.735	时间：100517	海拔：1060
纬度：4047.620	经度：11141.735	时间：100517	海拔：1059
纬度：4047.620	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.621	经度：11141.735	时间：100517	海拔：1058
纬度：4047.622	经度：11141.734	时间：100517	海拔：1058
纬度：4047.622	经度：11141.734	时间：100517	海拔：1058
纬度：4047.623	经度：11141.734	时间：100517	海拔：1058
纬度：4047.623	经度：11141.734	时间：100517	海拔：1058
纬度：4047.623	经度：11141.734	时间：100517	海拔：1058
纬度：4047.624	经度：11141.734	时间：100517	海拔：1058
纬度：4047.624	经度：11141.733	时间：100517	海拔：1058
纬度：4047.626	经度：11141.733	时间：100517	海拔：1058
纬度：4047.626	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1058
纬度：4047.627	经度：11141.733	时间：100517	海拔：1057
纬度：4047.627	经度：11141.733	时间：100517	海拔：1057
纬度：4047.627	经度：11141.733	时间：100517	海拔：1057
纬度：4047.628	经度：11141.732	时间：100517	海拔：1058
纬度：4047.628	经度：11141.732	时间：100517	海拔：1057
纬度：4047.628	经度：11141.732	时间：100517	海拔：1057
纬度：4047.629	经度：11141.731	时间：100517	海拔：1057
纬度：4047.630	经度：11141.731	时间：100517	海拔：1057
纬度：4047.631	经度：11141.729	时间：100517	海拔：1057
纬度：4047.633	经度：11141.729	时间：100517	海拔：1057
纬度：4047.635	经度：11141.727	时间：100517	海拔：1058
纬度：4047.637	经度：11141.726	时间：100517	海拔：1058
纬度：4047.640	经度：11141.724	时间：100517	海拔：1058
纬度：4047.642	经度：11141.722	时间：100517	海拔：1058
纬度：4047.645	经度：11141.721	时间：100517	海拔：1058
纬度：4047.647	经度：11141.720	时间：100517	海拔：1058
纬度：4047.649	经度：11141.719	时间：100517	海拔：1058
纬度：4047.651	经度：11141.718	时间：100517	海拔：1058
纬度：4047.654	经度：11141.717	时间：100517	海拔：1058
纬度：4047.657	经度：11141.716	时间：100517	海拔：1058
纬度：4047.660	经度：11141.715	时间：100517	海拔：1057
纬度：4047.664	经度：11141.714	时间：100517	海拔：1057
纬度：4047.667	经度：11141.713	时间：100517	海拔：1057
纬度：4047.670	经度：11141.711	时间：100517	海拔：1058
纬度：4047.674	经度：11141.709	时间：100517	海拔：1057
纬度：4047.677	经度：11141.708	时间：100517	海拔：1057
纬度：4047.680	经度：11141.707	时间：100517	海拔：1057
纬度：4047.683	经度：11141.705	时间：100517	海拔：1057
纬度：4047.686	经度：11141.704	时间：100517	海拔：1057
纬度：4047.688	经度：11141.704	时间：100517	海拔：1058
纬度：4047.690	经度：11141.703	时间：100517	海拔：1058
纬度：4047.693	经度：11141.702	时间：100517	海拔：1057
纬度：4047.695	经度：11141.701	时间：100517	海拔：1057
纬度：4047.697	经度：11141.701	时间：100517	海拔：1057
纬度：4047.699	经度：11141.700	时间：100517	海拔：1057
纬度：4047.700	经度：11141.700	时间：100517	海拔：1056
纬度：4047.701	经度：11141.699	时间：100517	海拔：1056
纬度：4047.702	经度：11141.700	时间：100517	海拔：1056
纬度：4047.702	经度：11141.700	时间：100517	海拔：1057
纬度：4047.703	经度：11141.701	时间：100517	海拔：1057
纬度：4047.704	经度：11141.700	时间：100517	海拔：1057
